,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,model
1036,Hyundai Grand i10 Magna,2015,325000,25000,Petrol,Individual,Manual,Third Owner,Hyundai,Hyundai Grand i10
1037,Tata Tigor 1.2 Revotron XT,2018,450000,8500,Petrol,Individual,Manual,First Owner,Tata,Tata Tigor 1.2
1038,Maruti SX4 Celebration Diesel,2012,250000,120000,Diesel,Individual,Manual,First Owner,Maruti,Maruti SX4 Celebration
1039,Volkswagen Polo Diesel Comfortline 1.2L,2012,225000,120000,Diesel,Individual,Manual,First Owner,Volkswagen,Volkswagen Polo Diesel
1040,Maruti Alto LXi,2009,150000,90246,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto LXi
1041,Maruti Alto LX BSIII,2008,110000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
1042,Maruti Alto LXi BSIII,2010,150000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
1043,Maruti Gypsy King Hard Top,2000,165000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Gypsy King
1044,Renault Duster 85PS Diesel RxL,2017,610000,32000,Diesel,Individual,Manual,Second Owner,Renault,Renault Duster 85PS
1045,Tata Manza Club Class Quadrajet90 VX,2013,170000,60400,Diesel,Individual,Manual,First Owner,Tata,Tata Manza Club
1046,Hyundai Verna CRDi,2008,150000,70950,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna CRDi
1047,Hyundai Xcent 1.1 CRDi Base,2015,375000,72000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Xcent 1.1
1048,Maruti Swift VDI,2013,390000,90000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
1049,Hyundai i20 Active 1.2 S,2017,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 Active
1050,Maruti Alto 800 LXI,2014,204999,25000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
1051,Hyundai Verna CRDi,2009,270000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna CRDi
1052,Hyundai Grand i10 Sportz,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
1053,Maruti Baleno Zeta,2020,700000,1100,Petrol,Individual,Manual,First Owner,Maruti,Maruti Baleno Zeta
1054,Maruti Swift VXI Deca,2017,455000,40000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift VXI
1055,Hyundai i10 Sportz 1.1L,2017,375000,10000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i10 Sportz
1056,Hyundai Grand i10 Asta,2014,341000,31491,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
1057,Maruti Swift Dzire VDI,2014,200000,107143,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1058,Maruti Ignis 1.2 AMT Delta BSIV,2017,450000,15000,Petrol,Individual,Automatic,First Owner,Maruti,Maruti Ignis 1.2
1059,Hyundai Santro Xing GL Plus,2012,170000,50000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Santro Xing
1060,Toyota Innova Crysta 2.4 VX MT 8S BSIV,2017,1900000,100000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova Crysta
1061,Mahindra Bolero Power Plus LX,2016,500000,60000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Bolero Power
1062,Maruti Vitara Brezza ZDi Plus,2016,819999,85000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Vitara Brezza
1063,Maruti Swift 1.2 DLX,2014,351000,40000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Swift 1.2
1064,Hyundai i10 Magna 1.2 iTech SE,2011,195000,80000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai i10 Magna
1065,Maruti Swift Dzire VDi,2008,250000,82000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1066,Maruti Zen Estilo 1.1 VXI BSIII,2008,120000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Zen Estilo
1067,Maruti A-Star Vxi,2009,180000,70000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti A-Star Vxi
1068,Mahindra KUV 100 mFALCON D75 K6,2016,430000,20000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra KUV 100
1069,Tata Nano Cx BSIV,2012,75000,35000,Petrol,Individual,Manual,Second Owner,Tata,Tata Nano Cx
1070,Mahindra Xylo D4,2017,750000,80000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Xylo D4
1071,Tata Nano Lx,2011,60000,40000,Petrol,Individual,Manual,First Owner,Tata,Tata Nano Lx
1072,Toyota Innova 2.5 VX (Diesel) 8 Seater,2015,1500000,46412,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova 2.5
1073,Mahindra Bolero SLX 2WD BSIII,2011,390000,150000,Diesel,Individual,Manual,Fourth & Above Owner,Mahindra,Mahindra Bolero SLX
1074,Mahindra TUV 300 T4,2016,630000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra TUV 300
1075,Tata Safari Storme VX Varicor 400,2018,1085000,15000,Diesel,Individual,Manual,First Owner,Tata,Tata Safari Storme
1076,Hyundai i10 Magna 1.2 iTech SE,2012,190000,60000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai i10 Magna
1077,Maruti Baleno Delta Automatic,2018,550000,25000,Petrol,Individual,Automatic,First Owner,Maruti,Maruti Baleno Delta
1078,Maruti Alto 800 LXI,2012,200000,90000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Alto 800
1079,Chevrolet Spark 1.0 LT,2011,165000,60000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Spark 1.0
1080,Ford Figo Diesel Celebration Edition,2013,260000,65000,Diesel,Individual,Manual,First Owner,Ford,Ford Figo Diesel
1081,Maruti Alto LX,2011,151000,40000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
1082,Maruti Vitara Brezza VDi,2018,780000,50000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Vitara Brezza
1083,Tata Indica Vista Quadrajet LX,2012,175000,80000,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
1084,Tata Indica Vista TDI LS,2010,170000,107500,Diesel,Dealer,Manual,First Owner,Tata,Tata Indica Vista
1085,Tata Indica Vista TDI LS,2013,210000,135000,Diesel,Dealer,Manual,Second Owner,Tata,Tata Indica Vista
1086,Maruti Alto LXi,2007,90000,43826,Petrol,Dealer,Manual,Second Owner,Maruti,Maruti Alto LXi
1087,Hyundai i20 Active S Petrol,2016,535000,55838,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai i20 Active
1088,Maruti Swift VDI BSIV,2007,195000,112880,Diesel,Dealer,Manual,First Owner,Maruti,Maruti Swift VDI
1089,Tata Indica Vista Terra Quadrajet 1.3L,2011,140000,90000,Diesel,Individual,Manual,Third Owner,Tata,Tata Indica Vista
1090,Nissan Sunny XL,2012,350000,40000,Petrol,Individual,Manual,First Owner,Nissan,Nissan Sunny XL
1091,Hyundai Verna 1.6 SX VTVT (O),2013,425000,66000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
1092,Renault KWID 1.0 RXT Optional,2017,300000,30300,Petrol,Individual,Manual,First Owner,Renault,Renault KWID 1.0
1093,Volkswagen Vento Diesel Style Limited Edition,2013,340000,85000,Diesel,Individual,Manual,Second Owner,Volkswagen,Volkswagen Vento Diesel
1094,Maruti Swift Dzire VXi,2009,250000,80659,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Swift Dzire
1095,Chevrolet Aveo 1.4 LS,2008,170000,81324,Petrol,Dealer,Manual,First Owner,Chevrolet,Chevrolet Aveo 1.4
1096,Honda Amaze S i-Dtech,2013,315000,127884,Diesel,Dealer,Manual,First Owner,Honda,Honda Amaze S
1097,Chevrolet Beat PS,2015,200000,50000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat PS
1098,Chevrolet Beat PS,2016,300000,25000,Petrol,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat PS
1099,Honda Amaze S i-Dtech,2015,300000,66755,Diesel,Dealer,Manual,First Owner,Honda,Honda Amaze S
1100,Honda City E,2013,380000,123084,Petrol,Dealer,Manual,First Owner,Honda,Honda City E
1102,Honda Amaze S i-Dtech,2013,310000,95851,Diesel,Dealer,Manual,First Owner,Honda,Honda Amaze S
1103,Maruti Wagon R VXI Minor ABS,2010,260000,50000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
1104,Maruti Omni BSIII 8-STR W/ IMMOBILISER,2008,150000,50000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Omni BSIII
1105,Maruti Esteem Vxi - BSIII,2006,85000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Esteem Vxi
1106,Maruti Alto 800 LXI,2015,280000,15000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto 800
1107,Mahindra Xylo H4 ABS,2016,850000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Xylo H4
1108,Datsun GO Plus T Option BSIV,2017,375000,20000,Petrol,Individual,Manual,Second Owner,Datsun,Datsun GO Plus
1109,Hyundai Elantra CRDi (Leather Option),2006,125000,120000,Diesel,Individual,Manual,Third Owner,Hyundai,Hyundai Elantra CRDi
1110,Chevrolet Beat Diesel LT,2012,250000,110000,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
1112,Hyundai i20 1.4 CRDi Era,2011,220000,70000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai i20 1.4
1113,Tata Indica Vista Aqua 1.3 Quadrajet,2010,110000,110000,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica Vista
1114,Hyundai Verna XXi (Petrol),2007,150000,84000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Verna XXi
1115,Nissan Sunny Diesel XV,2012,300000,170000,Diesel,Individual,Manual,First Owner,Nissan,Nissan Sunny Diesel
1116,Datsun RediGO T Option,2017,220000,40000,Petrol,Individual,Manual,First Owner,Datsun,Datsun RediGO T
1117,Maruti Wagon R LX,2006,75000,96000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1118,Tata Indigo LS,2009,100000,20000,Diesel,Individual,Manual,First Owner,Tata,Tata Indigo LS
1119,Ford Figo Aspire 1.2 Ti-VCT Trend,2016,380000,15000,Petrol,Individual,Manual,First Owner,Ford,Ford Figo Aspire
1120,Hyundai Santro Xing XK (Non-AC),2007,100000,50000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Santro Xing
1121,Volkswagen Passat 1.8 TSI MT,2010,480000,80000,Petrol,Individual,Manual,Second Owner,Volkswagen,Volkswagen Passat 1.8
1122,Toyota Etios GD,2012,300000,124000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Etios GD
1123,Chevrolet Beat Diesel LS,2013,190000,70000,Diesel,Individual,Manual,First Owner,Chevrolet,Chevrolet Beat Diesel
1124,Ford Figo Diesel LXI,2012,190000,130000,Diesel,Individual,Manual,Second Owner,Ford,Ford Figo Diesel
1125,Ford EcoSport 1.5 Ti VCT MT Trend BSIV,2017,650000,19014,Petrol,Dealer,Manual,First Owner,Ford,Ford EcoSport 1.5
1126,Toyota Corolla Executive (HE),2009,300000,23262,Petrol,Dealer,Manual,First Owner,Toyota,Toyota Corolla Executive
1127,Ford Freestyle Titanium Diesel BSIV,2016,700000,29600,Diesel,Dealer,Manual,First Owner,Ford,Ford Freestyle Titanium
1128,Hyundai i10 Sportz 1.1L,2015,310000,35925,Petrol,Dealer,Manual,First Owner,Hyundai,Hyundai i10 Sportz
1129,Maruti Ignis 1.2 Zeta BSIV,2018,500000,12000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Ignis 1.2
1130,Toyota Etios V,2013,415000,40771,Petrol,Dealer,Manual,First Owner,Toyota,Toyota Etios V
1131,Maruti Celerio VXI AT,2015,395000,30500,Petrol,Dealer,Automatic,Second Owner,Maruti,Maruti Celerio VXI
1132,Toyota Etios Liva 1.2 G,2014,430000,42000,Petrol,Dealer,Manual,Second Owner,Toyota,Toyota Etios Liva
1133,Toyota Corolla H6,2007,215000,55800,Petrol,Dealer,Manual,Second Owner,Toyota,Toyota Corolla H6
1134,Renault Duster RXL AWD,2014,550000,66569,Diesel,Dealer,Manual,First Owner,Renault,Renault Duster RXL
1135,Volkswagen Polo 1.5 TDI Trendline,2014,415000,81358,Diesel,Dealer,Manual,First Owner,Volkswagen,Volkswagen Polo 1.5
1136,Volkswagen Polo 1.5 TDI Comfortline,2015,450000,82695,Diesel,Dealer,Manual,First Owner,Volkswagen,Volkswagen Polo 1.5
1137,Ford Figo Diesel EXI,2014,285000,68293,Diesel,Dealer,Manual,Second Owner,Ford,Ford Figo Diesel
1138,Honda Jazz VX CVT,2016,580000,32000,Petrol,Dealer,Automatic,First Owner,Honda,Honda Jazz VX
1140,Hyundai Verna CRDi 1.6 SX Option,2018,1200000,60000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna CRDi
1141,Maruti 800 Std MPFi,2006,78000,64700,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 Std
1142,Tata Zest Quadrajet 1.3 75PS XE,2016,400000,88470,Diesel,Individual,Manual,First Owner,Tata,Tata Zest Quadrajet
1143,Hyundai Verna 1.6 CRDI SX Option,2016,850000,75000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Verna 1.6
1144,Volkswagen Vento Diesel Highline,2013,450000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen,Volkswagen Vento Diesel
1145,Mercedes-Benz E-Class E250 CDI Blue Efficiency,2012,2500000,35000,Diesel,Individual,Automatic,First Owner,Mercedes-Benz,Mercedes-Benz E-Class E250
1146,Toyota Etios 1.4 VXD,2017,780000,70000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Etios 1.4
1148,Maruti Alto 800 VXI,2020,350000,1000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
1149,Mahindra Quanto C6,2013,285000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Quanto C6
1150,Volkswagen Vento 1.5 TDI Highline,2015,525000,98000,Diesel,Dealer,Manual,First Owner,Volkswagen,Volkswagen Vento 1.5
1151,Maruti Ciaz ZDi,2014,550000,90000,Diesel,Dealer,Manual,Second Owner,Maruti,Maruti Ciaz ZDi
1152,Volkswagen Ameo 1.5 TDI Comfortline,2018,580000,70000,Diesel,Individual,Manual,First Owner,Volkswagen,Volkswagen Ameo 1.5
1153,Tata Nano CX SE,2013,75000,25000,Petrol,Individual,Manual,Third Owner,Tata,Tata Nano CX
1154,Tata Manza Aura Quadrajet,2009,185000,60000,Diesel,Individual,Manual,Third Owner,Tata,Tata Manza Aura
1155,Maruti Omni E 8 Str STD,2007,110000,90000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Omni E
1157,Volkswagen Polo Diesel Comfortline 1.2L,2010,350000,110000,Diesel,Individual,Manual,Second Owner,Volkswagen,Volkswagen Polo Diesel
1158,Chevrolet Optra 1.6 LS,2005,60000,126000,Petrol,Individual,Manual,Second Owner,Chevrolet,Chevrolet Optra 1.6
1159,Mahindra TUV 300 T10,2018,695000,70000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra TUV 300
1161,Maruti Zen Estilo LX BSIII,2007,135000,74183,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Zen Estilo
1162,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,640000,70000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Bolero Power
1163,Maruti Alto 800 VXI,2014,160000,90000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
1164,Tata Indica LXI,2004,80000,46000,Petrol,Individual,Manual,Second Owner,Tata,Tata Indica LXI
1165,Maruti Swift Dzire VDI,2013,340000,110000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1166,Maruti Ritz VDi,2012,110000,80000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Ritz VDi
1167,Tata Sumo Gold EX,2013,250000,90000,Diesel,Individual,Manual,Second Owner,Tata,Tata Sumo Gold
1168,Toyota Innova Crysta 2.4 VX MT BSIV,2017,1300000,70000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Innova Crysta
1169,Mahindra Quanto C6,2014,250000,1,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Quanto C6
1171,Maruti Wagon R LX Minor,2013,240000,70000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Maruti Wagon R
1172,Mahindra Bolero DI DX 7 Seater,2007,225000,120000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Bolero DI
1173,Maruti Wagon R VXI Optional,2015,275000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1174,Tata Sumo Victa CX 7/9 Str BSII,2012,320000,120000,Diesel,Individual,Manual,Second Owner,Tata,Tata Sumo Victa
1175,Maruti Alto LX BSIII,2008,75000,120000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto LX
1176,Tata Indica GLS BS IV,2007,85000,50000,Petrol,Individual,Manual,Second Owner,Tata,Tata Indica GLS
1177,Tata Indica Vista Aqua TDI BSIII,2009,90000,120000,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
1178,Maruti Wagon R LXI Minor,2007,85000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1179,Mahindra Scorpio M2DI,2008,350000,80000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Scorpio M2DI
1180,Skoda Superb Elegance 2.0 TDI CR AT,2009,355000,100000,Diesel,Individual,Automatic,Second Owner,Skoda,Skoda Superb Elegance
1181,Maruti Swift VXI,2020,619000,1500,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift VXI
1182,Jeep Compass 2.0 Longitude Option BSIV,2018,1700000,50000,Diesel,Individual,Manual,First Owner,Jeep,Jeep Compass 2.0
1183,Tata Indica DL,2006,55000,100000,Diesel,Individual,Manual,Second Owner,Tata,Tata Indica DL
1184,Ford Fiesta 1.6 ZXi Leather,2006,95000,83411,Petrol,Individual,Manual,First Owner,Ford,Ford Fiesta 1.6
1185,Volkswagen Vento Diesel Highline,2011,300000,120000,Diesel,Individual,Manual,Second Owner,Volkswagen,Volkswagen Vento Diesel
1186,Ford Fiesta 1.6 ZXi Leather,2006,81000,83411,Petrol,Individual,Manual,First Owner,Ford,Ford Fiesta 1.6
1187,Skoda Superb Elegance 2.0 TDI CR AT,2015,1000000,80000,Diesel,Individual,Automatic,Second Owner,Skoda,Skoda Superb Elegance
1188,Maruti Ertiga VDI,2019,925000,50000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ertiga VDI
1189,Mahindra Bolero Power Plus Plus AC BSIV PS,2015,450000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Bolero Power
1190,Mahindra Scorpio EX,2014,600000,13270,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Scorpio EX
1191,Hyundai Santro Xing XL AT eRLX Euro III,2006,85000,100000,Petrol,Individual,Automatic,Third Owner,Hyundai,Hyundai Santro Xing
1192,Mahindra Thar DI 4X4 PS,2016,700000,50000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Thar DI
1193,Hyundai Grand i10 1.2 Kappa Magna BSIV,2017,486000,26500,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai Grand i10
1194,Maruti Swift VDI,2013,400000,90000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift VDI
1195,Ford Fiesta 1.4 Duratec ZXI,2008,120000,100000,Petrol,Individual,Manual,Third Owner,Ford,Ford Fiesta 1.4
1196,Maruti Alto 800 LXI,2018,275000,35000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
1197,Hyundai i20 Asta Option 1.4 CRDi,2016,580000,57000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai i20 Asta
1198,Maruti Swift Dzire LXI,2015,375000,70000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
1199,Maruti Wagon R VXI BS IV with ABS,2015,229999,100000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Wagon R
1200,Maruti Alto LX,2010,110000,88000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
1201,Maruti Swift Dzire VDI,2017,600000,60000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
1202,Maruti A-Star Vxi,2009,120000,76000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti A-Star Vxi
1203,Ford Figo Diesel Titanium,2010,200000,100000,Diesel,Individual,Manual,Second Owner,Ford,Ford Figo Diesel
1204,Hyundai Verna 1.6 SX CRDi (O),2012,450000,110000,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
1205,Hyundai Verna 1.6 SX CRDi (O),2012,550000,80000,Diesel,Individual,Manual,Second Owner,Hyundai,Hyundai Verna 1.6
1206,Maruti Alto LX,2012,220000,80000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LX
1207,Maruti 800 EX,2001,40000,30000,Petrol,Individual,Manual,First Owner,Maruti,Maruti 800 EX
1208,Renault KWID Climber 1.0 AMT,2017,300000,20000,Petrol,Individual,Automatic,First Owner,Renault,Renault KWID Climber
1209,Mahindra Bolero Power Plus SLE,2018,630000,40000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Bolero Power
1210,Maruti Swift Dzire VDI,2017,610000,40000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1211,Hyundai Xcent 1.2 VTVT S,2019,660000,7000,Petrol,Individual,Manual,Second Owner,Hyundai,Hyundai Xcent 1.2
1212,Maruti Wagon R LXI LPG BSIV,2012,220000,80000,LPG,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1213,Nissan Micra Diesel XV Premium,2011,138000,90000,Diesel,Individual,Manual,Second Owner,Nissan,Nissan Micra Diesel
1214,Nissan Micra Diesel XV Premium,2013,210000,13770,Diesel,Individual,Manual,First Owner,Nissan,Nissan Micra Diesel
1215,Maruti Zen LXi - BS III,2005,125000,34000,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Zen LXi
1216,Maruti Alto LXi BSIII,2008,125000,102000,Petrol,Dealer,Manual,First Owner,Maruti,Maruti Alto LXi
1217,Honda City i DTEC SV,2014,725000,110000,Diesel,Individual,Manual,First Owner,Honda,Honda City i
1218,Maruti Alto K10 2010-2014 VXI,2011,170000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto K10
1219,Toyota Innova 2.5 VX (Diesel) 7 Seater,2015,1200000,70000,Diesel,Individual,Manual,Third Owner,Toyota,Toyota Innova 2.5
1220,Maruti Wagon R VXI BSIII,2003,70000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Wagon R
1221,Maruti Alto LXi,2007,100000,70000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Alto LXi
1222,Honda Civic 1.8 (E) MT,2006,300000,80000,Petrol,Individual,Manual,Second Owner,Honda,Honda Civic 1.8
1223,Maruti Swift VDI,2013,450000,100000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift VDI
1224,Maruti Swift Dzire VDI,2015,530000,100000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Swift Dzire
1225,Maruti Zen Estilo 1.1 LXI BSIII,2007,100000,143000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Zen Estilo
1226,Honda City 1.5 V MT,2010,350000,115000,Petrol,Individual,Manual,Second Owner,Honda,Honda City 1.5
1227,Tata Manza ELAN Quadrajet BS IV,2011,165000,100000,Diesel,Individual,Manual,Second Owner,Tata,Tata Manza ELAN
1228,Maruti Swift Dzire ZDI,2019,475000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1229,Mahindra Xylo E4 ABS BS IV,2013,350000,42000,Diesel,Individual,Manual,First Owner,Mahindra,Mahindra Xylo E4
1230,Renault KWID RXL,2016,229999,38000,Petrol,Individual,Manual,First Owner,Renault,Renault KWID RXL
1231,Honda WR-V i-DTEC VX,2018,800000,35000,Diesel,Individual,Manual,First Owner,Honda,Honda WR-V i-DTEC
1232,Maruti Swift Dzire ZDI,2014,475000,120000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Swift Dzire
1233,Nissan Terrano XL 110 PS,2014,425000,136906,Diesel,Individual,Manual,First Owner,Nissan,Nissan Terrano XL
1234,Maruti Ciaz VDi Plus,2015,660000,97000,Diesel,Individual,Manual,Second Owner,Maruti,Maruti Ciaz VDi
1235,Honda Amaze S CVT Petrol,2019,610000,10000,Petrol,Individual,Automatic,First Owner,Honda,Honda Amaze S
1236,Honda Brio S MT,2013,240000,50000,Petrol,Individual,Manual,Third Owner,Honda,Honda Brio S
1237,Maruti Esteem Lxi,2005,70000,60000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti Esteem Lxi
1238,Toyota Corolla Altis Diesel D4DGL,2011,550000,120000,Diesel,Individual,Manual,First Owner,Toyota,Toyota Corolla Altis
1239,Tata Indica Vista Aura 1.2 Safire,2010,100000,120000,Petrol,Individual,Manual,Second Owner,Tata,Tata Indica Vista
1240,Mahindra Bolero SLE,2010,350000,90000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Bolero SLE
1241,Hyundai EON Era Plus,2013,200000,120000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai EON Era
1242,Hyundai Elite i20 Asta Option CVT BSIV,2019,720000,3000,Petrol,Individual,Automatic,First Owner,Hyundai,Hyundai Elite i20
1243,Maruti Ritz VDi,2014,350000,133000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ritz VDi
1244,Maruti Wagon R VXI BS IV,2016,400000,25000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Wagon R
1245,Hyundai i20 Active 1.2 S,2017,570000,35000,Petrol,Individual,Manual,First Owner,Hyundai,Hyundai i20 Active
1246,Maruti Omni MPI STD BSIV,2015,130000,70000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Omni MPI
1247,Maruti Alto 800 LXI,2016,210000,52000,Petrol,Individual,Manual,First Owner,Maruti,Maruti Alto 800
1248,Hyundai Creta 1.4 E Plus,2018,800000,52000,Diesel,Individual,Manual,First Owner,Hyundai,Hyundai Creta 1.4
1249,Honda Jazz 1.5 E i DTEC,2017,700000,39000,Diesel,Individual,Manual,First Owner,Honda,Honda Jazz 1.5
1250,Tata Indica Vista Quadrajet VX,2011,200000,28689,Diesel,Individual,Manual,First Owner,Tata,Tata Indica Vista
1251,Tata Aria Pure LX 4x2,2014,495000,90000,Diesel,Individual,Manual,Second Owner,Tata,Tata Aria Pure
1252,Ford Fiesta Classic 1.4 Duratorq CLXI,2014,325000,80322,Diesel,Dealer,Manual,First Owner,Ford,Ford Fiesta Classic
1253,Ford Freestyle Trend Petrol BSIV,2019,650000,8000,Petrol,Individual,Manual,First Owner,Ford,Ford Freestyle Trend
1254,Mahindra Jeep MM 775 XDB,2000,155000,50000,Diesel,Individual,Manual,Second Owner,Mahindra,Mahindra Jeep MM
1255,Maruti 800 AC BSIII,2007,75000,90000,Petrol,Individual,Manual,Second Owner,Maruti,Maruti 800 AC
1256,Hyundai Grand i10 1.2 CRDi Magna,2015,350000,61658,Diesel,Dealer,Manual,First Owner,Hyundai,Hyundai Grand i10
1257,Maruti Zen Estilo LX BSIV,2010,90000,50000,Petrol,Individual,Manual,Third Owner,Maruti,Maruti Zen Estilo
1258,Maruti Ertiga SHVS VDI,2016,600000,80000,Diesel,Individual,Manual,First Owner,Maruti,Maruti Ertiga SHVS
